    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal_ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
8:43:28,22.92,45.4,43.6,29.51,29.42,30.4,6.2,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:29,22.91,45.4,43.59,29.51,29.43,30.3,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:30,22.9,45.4,43.59,29.51,29.43,30.3,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:31,22.9,45.4,43.58,29.51,29.43,30.3,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:32,22.9,45.41,43.58,29.51,29.43,30.2,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:33,22.9,45.41,43.58,29.51,29.43,30.2,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:34,22.9,45.41,43.58,29.51,29.43,30.1,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:36,22.9,45.4,43.58,29.51,29.43,30.1,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:37,22.91,45.4,43.59,29.51,29.43,30.1,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:38,22.92,45.4,43.6,29.51,29.42,30.2,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:39,22.92,45.4,43.6,29.51,29.42,30.2,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:40,22.93,45.4,43.6,29.51,29.42,30.4,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:41,22.94,45.4,43.61,29.51,29.42,30.5,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:42,22.94,45.4,43.61,29.51,29.42,30.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:44,22.94,45.39,43.61,29.51,29.42,30.5,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:45,22.95,45.4,43.61,29.51,29.42,30.5,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:46,22.95,45.4,43.62,29.51,29.42,30.6,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:47,22.95,45.4,43.61,29.51,29.42,30.5,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:48,22.94,45.4,43.61,29.51,29.42,30.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:49,22.93,45.4,43.61,29.51,29.43,30.4,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:50,22.93,45.4,43.61,29.51,29.43,30.4,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:52,22.92,45.4,43.6,29.51,29.43,30.3,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:53,22.93,45.4,43.6,29.51,29.43,30.3,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:54,22.93,45.4,43.6,29.51,29.43,30.6,6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:55,22.93,45.4,43.6,29.51,29.42,30.5,6,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:56,22.93,45.4,43.6,29.51,29.42,30.5,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:57,22.94,45.39,43.6,29.51,29.42,30.6,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:43:58,22.94,45.39,43.6,29.51,29.42,30.6,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:00,22.94,45.39,43.61,29.51,29.42,30.6,5.9,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:01,22.94,45.39,43.61,29.51,29.42,30.5,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:02,22.94,45.4,43.61,29.51,29.42,30.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:03,22.94,45.4,43.61,29.51,29.42,30.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:04,22.94,45.4,43.61,29.51,29.42,30.6,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:05,22.94,45.39,43.61,29.51,29.42,30.5,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:06,22.94,45.39,43.61,29.51,29.42,30.6,5.1,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:08,22.94,45.39,43.61,29.51,29.42,30.6,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:09,22.94,45.4,43.61,29.51,29.42,30.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:10,22.94,45.4,43.61,29.51,29.42,30.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:11,22.94,45.4,43.61,29.51,29.43,30.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:12,22.93,45.4,43.61,29.51,29.43,30.5,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:13,22.93,45.41,43.61,29.51,29.43,30.3,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:14,22.92,45.41,43.61,29.51,29.43,30.3,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:16,22.92,45.41,43.6,29.52,29.43,30.2,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:17,22.91,45.41,43.6,29.52,29.43,30,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:18,22.91,45.41,43.6,29.52,29.43,30,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:19,22.91,45.41,43.59,29.51,29.43,30,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:20,22.92,45.4,43.6,29.51,29.43,30.1,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:21,22.92,45.4,43.6,29.51,29.42,30,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:22,22.93,45.4,43.6,29.51,29.42,30.1,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:24,22.93,45.4,43.6,29.51,29.42,30.1,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:25,22.94,45.4,43.61,29.51,29.42,30.3,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:26,22.94,45.4,43.61,29.51,29.42,30.3,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:27,22.94,45.4,43.61,29.51,29.43,30.4,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:28,22.94,45.4,43.61,29.51,29.43,30.3,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:29,22.93,45.41,43.61,29.51,29.43,30.4,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
