    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal+ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
14:39:05,20.81,51.79,47.65,33.66,34.12,1.7,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:06,20.81,51.79,47.65,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:08,20.82,51.79,47.65,33.66,34.12,1.7,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:09,20.82,51.79,47.65,33.66,34.12,1.7,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:10,20.82,51.79,47.66,33.66,34.12,1.7,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:11,20.82,51.79,47.66,33.66,34.12,1.7,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:12,20.82,51.79,47.66,33.66,34.12,1.7,2.9,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:13,20.82,51.79,47.66,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:14,20.82,51.79,47.66,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:16,20.82,51.79,47.66,33.66,34.12,1.7,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:17,20.82,51.79,47.66,33.66,34.12,1.7,2.7,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:18,20.82,51.79,47.66,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:19,20.82,51.79,47.66,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:20,20.83,51.79,47.66,33.66,34.12,1.7,2.8,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:21,20.83,51.79,47.67,33.66,34.12,1.7,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:22,20.83,51.79,47.67,33.66,34.12,1.7,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:24,20.84,51.79,47.67,33.66,34.12,1.7,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:25,20.84,51.79,47.67,33.66,34.12,1.7,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
